Word1 Word2 Score
planina obod 0.90
veličina opseg 2.80
roditelj odrastao 3.30
večera obrok 4.00
stvarnost iluzija 0.30
pobjednik kandidat 2.00
pažnja zanimanje 3.20
cilj strijela 1.40
obrok struk 1.00
kupaonica žena 0.40
ulje krzno 0.20
zavoj kut 1.70
mudrost inteligencija 4.40
riječ stranica 1.10
pivo šampanjac 2.30
dečko partner 3.90
izlaz ulaz 0.00
jetra pluća 1.40
svijet globus 3.70
brod paluba 1.70
radnik mehaničar 3.20
biblija himna 1.00
mlijeko sok 1.60
žena slamka 0.20
telefon govornica 2.10
duhan cigareta 3.80
učitelj predavač 4.80
bol šteta 2.30
mjehurić sapunica 2.90
plaža more 1.60
noga ruka 1.10
kemija teorija 2.30
krv hrskavica 0.80
brod sidro 1.20
komunikacija televizija 2.00
limun čaj 1.00
ideja nacrt 2.90
bog svećenik 1.40
sjever zapad 0.20
noć zora 0.20
odrezak meso 3.10
večera juha 1.50
brat sin 1.70
brod automobil 2.10
toranj zvono 1.30
medij vijest 2.60
alkohol rakija 3.00
puška prevara 0.40
miš mačka 0.70
doručak večera 1.10
rebro noga 1.00
kauč rukomet 0.20
soba ćelija 3.40
motel krčma 3.80
trgovina kompanija 3.80
odjeća ladica 0.90
trava mahovina 2.90
ovca stoka 3.00
salata ocat 1.10
bog vrag 0.00
snaga moć 4.80
želudac vena 0.70
zločin prevara 3.20
plaža otok 1.90
rame glava 1.30
skladatelj pisac 2.80
stav samouvjerenost 3.40
djevojčica dijete 3.70
igra zabava 3.60
kupaonica kuhinja 1.30
vjera cvijet 0.30
groznica bolest 4.00
pobjeda trijumf 5.40
oblak vrijeme 1.30
trač vijest 3.10
lim metal 2.80
knjiga informacija 1.90
kokoš purica 2.80
snijeg vrijeme 1.50
stoka govedina 3.20
biografija fikcija 1.20
bratstvo vrata 0.30
odvjetnik bankar 1.50
ptica kokoš 2.50
rabin svećenik 3.00
bog duh 2.60
taksi autobus 2.30
kutija kabina 2.10
usta zubar 1.10
kanjon dolina 3.50
buka klepet 4.40
ortodont zubar 4.60
plaža obala 4.20
žena krzno 0.70
boca posuda 2.90
stolac klupa 2.70
družica prijateljica 4.90
odjeća kaput 2.30
mačka ljubimac 3.10
štakor miš 4.00
dno vrh 0.00
bal kostim 1.00
fakultet zanimanje 2.30
slavlje svečanost 4.30
igra trik 1.90
šmrk vrt 0.90
prijatelj majka 2.00
drvo ugljen 2.00
prst dlan 1.60
gitara bubanj 1.90
izobilje mnoštvo 4.40
kralj princeza 2.00
životinja osoba 1.10
jasle kolijevka 4.10
rijeka more 2.00
riječ književnost 2.70
meso kruh 1.00
odjeća tkanje 2.60
formula klada 0.20
majka žena 3.90
bolest zaraza 4.50
kruh sir 1.10
žena muž 0.70
vrat kralježnica 2.70
puška zora 0.60
prijatelj gost 2.40
predsjednik gradonačelnik 2.90
krevet bolnica 1.30
tečaj želudac 0.40
meso sendvič 1.50
more ocean 4.00
sekunda minuta 1.50
baraka koliba 5.00
šipka kavez 2.20
knjiga članak 2.00
žlica čaša 1.50
nos usta 1.70
čovjek dijete 3.00
korporacija trgovina 3.80
alkohol grupa 0.50
trbuh abdomen 4.40
vid percepcija 3.80
vino rakija 2.20
fraza riječ 3.80
džemper jakna 2.60
ruka kostim 0.60
puška top 2.50
stanovništvo narod 4.70
molekula zrak 1.90
poricanje priznanje 0.00
jabuka umak 0.70
vrata kapija 4.60
snaga sposobnost 3.60
čudovište demon 4.30
šešir kaput 1.10
nevjesta princeza 2.90
taksi prijevoz 2.70
pjesma priča 3.10
sjeme senf 1.10
tegla boca 2.70
vrata pod 1.00
maslac krumpir 0.50
kruh brašno 2.40
sporazum uvjet 2.50
političar predsjednik 3.90
novac plaća 4.00
stranica pasus 2.20
krava koza 1.50
bogatstvo slava 2.50
pčela mrav 1.50
metal aluminij 3.00
brdo greben 3.80
protivnik suparnik 5.60
obrva oko 1.60
krevet kauč 2.80
ptica sokol 3.00
oko suza 1.30
kost čeljust 2.70
vrh strana 1.40
pas mačka 0.70
ljutnja raspoloženje 2.30
vozilo autobus 3.00
predvodnik upravitelj 4.90
zdjela rep 0.10
agresija neprijateljstvo 4.10
metar inč 2.00
veselje ponos 2.50
stil moda 4.30
kugla top 1.50
metar milja 2.10
izbor vena 0.20
kuna žena 0.30
izdržljivost grupa 0.10
oblak maglica 3.10
ovca janje 3.10
mjesec planet 2.20
zvonik kapelica 1.90
područje kut 1.20
knjiga priča 2.90
sporazum ugovor 5.20
zalazak izlazak 0.30
usta usna 2.70
krov pod 0.10
soba kupaonica 2.50
dječak vojnik 2.00
prisustvo vrata 0.10
avion zrakoplov 5.80
odjeća jakna 2.80
kada balon 0.40
trik veličina 0.20
cent veličina 0.90
priča tema 2.60
bolest infekcija 4.10
rasprava sporazum 2.10
dijete dečko 3.10
mišić kostim 0.10
lakat gležanj 1.90
lula cigareta 3.50
film snimka 3.60
cilj potraga 2.00
pod paluba 2.30
kutija cigareta 1.80
jabuka svjetlost 0.10
osjećaj strast 3.10
nokat palac 1.80
krov strop 3.80
sastanak zaruke 1.50
rijeka potok 3.00
riječ novine 2.10
lim aluminij 2.80
brat duša 0.80
otok zadaća 0.10
oluja uragan 4.30
sveučilište klasa 1.70
soba krevet 1.30
sklonište koliba 3.10
riža grah 1.80
mišić jezik 2.40
stroj mašina 5.50
učitelj pomoćnik 2.60
automobil autocesta 1.40
alkohol vino 2.70
rulja gužva 3.80
elegancija stil 3.70
dno strana 1.40
učenik predsjednik 0.90
marihuana biljka 2.90
poglavlje izbor 1.00
knjiga esej 2.50
ljutnja bijes 4.90
prijatelj drug 5.70
sklonost stav 3.10
meso slanina 3.10
područje zona 5.40
suđenje presuda 2.70
čovjek otac 3.40
zima ljeto 0.10
obraz jezik 0.60
kost koljeno 2.90
vjerovanje pojam 1.10
beba kćer 3.00
žitarica pšenica 3.10
činjenica uvid 2.60
poglavar gradonačelnik 3.70
vjera mišljenje 2.30
veselje sreća 5.60
strop katedrala 1.10
želudac struk 1.40
konj kobila 2.80
otac brat 2.20
noć poglavlje 0.50
riječ rječnik 2.50
stopalo glava 0.90
ruka rame 1.80
korijen trava 2.60
metar kilometar 2.80
poliester pamuk 1.90
vozač pilot 4.20
krv meso 1.40
oblak magla 3.20
stablo javor 3.00
klada deblo 4.00
tijelo kralježnica 1.50
mačka zec 1.00
inteligencija uvid 2.00
nokat šaka 0.80
krevet namještaj 2.70
automobil lift 0.90
doktor profesor 3.20
situacija stanje 4.50
bicikl spavaća 0.10
vojska posada 3.10
svećenik monah 3.90
staklo kristal 2.80
ulica automobil 0.90
majka čuvar 2.40
škola pravo 1.70
obrok ručak 3.80
ljepota dob 1.00
zrakoplovstvo let 2.40
oblak oluja 2.30
nesreća katastrofa 4.60
histerija zbunjenost 1.50
poslodavac zaposlenik 0.50
konj ždrijebe 2.90
žestica stoljeće 0.10
leća kamera 2.40
krevet kolijevka 3.60
dječak dijete 4.40
rođendan datum 2.70
lopta košarka 1.80
kamp kabina 1.20
paluba miš 0.70
tanjur zdjela 2.90
policajac šerif 4.60
uprava rukovodstvo 5.70
zima doba 2.20
smrt pogreb 2.90
ruka vrat 1.20
cvijet izdržljivost 0.10
kauč stolac 2.40
gripa groznica 3.90
insekt pčela 2.90
koliba kabina 3.50
vrata ulaz 4.00
stric teta 1.50
kolovoz mjesec 2.80
šifra simbol 2.40
rog bubanj 1.40
jezik grlo 1.60
pobjednik pogodak 2.20
knjiga književnost 2.80
automobil truba 1.00
vrata kuhinja 0.80
porez prihod 2.40
kuća stan 4.20
vjerovanje dojam 1.70
čovjek stric 2.40
diskusija rasprava 5.40
anarhija kaos 4.80
šaka zglob 2.30
žena supruga 5.00
šećer med 2.80
konj vol 1.70
formula jednadžba 4.60
zid ukras 1.00
tvorac proizvođač 4.50
aktivnost pokret 3.70
pas konj 1.20
trava oštrica 0.60
bolničar znanstvenik 1.90
vagon kontejner 3.00
pehar tegla 2.10
voda led 3.00
pravo pravda 3.60
rak bolest 3.90
disk računalo 1.80
ruka koljeno 1.10
rulja parada 2.60
žena muškarac 1.40
kuća štala 1.90
knjiga biblija 3.10
liječnik ortodont 3.40
knjiga tekst 3.30
jelovnik narudžba 1.60
kutija lift 1.50
odjeća tkanina 2.50
tele bik 2.50
pravnik odvjetnik 4.90
odraz slika 3.40
zločin prekršaj 3.90
radnik zaposlenik 5.10
jug sjever 0.00
agonija patnja 5.20
doručak slanina 1.00
nadbiskup biskup 3.50
kuća tepih 0.90
zrak helij 1.60
puška nož 1.60
rupa žena 0.60
ideja slika 1.50
novčanik torba 2.00
vrijednost vjera 2.20
vino piće 2.80
dječak partner 0.20
automobil mjerilo 0.30
snijeg oluja 2.40
večera piletina 1.70
šaka stopalo 1.80
pisac čitatelj 1.40
pčela kraljica 1.80
knjiga tema 1.90
tijelo prsa 1.20
novac dijamant 2.40
narod puška 0.50
razred hodnik 0.90
članak časopis 2.00
kuća ključ 1.10
rasprava kritika 3.30
bogatstvo siromaštvo 0.00
dvoje par 5.70
glumica glumac 4.60
cvijet grm 2.60
himna slamka 0.10
sreća mir 3.20
kada trik 0.10
alkohol koktel 3.20
zadatak slamka 0.00
vagon kočija 2.80
viski šampanjac 2.50
mišljenje ideja 3.60
mornarica vojska 3.50
era desetljeće 3.00
klub društvo 4.20
otac bog 2.90
bitka osvajanje 2.30
hrast javor 2.30
ruka palac 2.00
palac prst 3.40
liječnik ćud 0.40
zabava nogomet 2.30
odsustvo prisustvo 0.00
ruka tijelo 1.20
sendvič ručak 2.60
greben rep 0.10
vrata podrum 0.90
automobil crijevo 0.40
student učenik 4.80
razočaranje bijes 2.60
tuga sramota 2.40
glazba melodija 3.70
miš rukovodstvo 0.10
novac kapital 4.40
dečko klinac 4.30
ruka zglob 1.90
vikend tjedan 2.10
ručak doručak 2.20
međa granica 5.10
rijeka dolina 1.50
zatvor izbor 0.10
okolnost situacija 4.20
šalica kornet 0.90
glumac pjevač 2.50
inteligencija vještina 3.50
kamera predsjednik 0.50
knjiga tematika 1.60
ljudi balon 0.30
akcija smjer 1.30
motor stroj 4.30
aritmetika ritam 0.50
opasnost prijetnja 4.50
prolaz hodnik 4.10
bog molitva 2.40
vrata hodnik 1.20
logika aritmetika 2.50
puška krzno 0.40
omča pojas 2.50
prehrana salata 2.10
sposobnost vještina 4.50
dama gospodin 1.20
čokolada pita 1.30
riža dječak 0.00
rođendan godina 2.00
prijatelj momak 3.50
učitelj rabin 3.60
princeza otok 0.10
rominjanje kiša 3.80
zrakoplov aerodrom 2.20
stanje dječak 0.20
šipka zavjesa 1.00
posao industrija 3.10
grešnica svetica 0.00
odjeća ormar 1.30
kost lakat 2.30
hrabrost drskost 3.20
kupaonica spavaonica 1.50
oblak sumaglica 3.10
sposobnost nadležnost 2.00
prehrana jabuka 2.00
znanost psihologija 3.40
orkestar parada 2.30
narod novac 0.40
dječak sin 2.90
žica vrpca 2.70
auto kočija 2.20
jabuka limun 1.30
čovjek suprug 3.60
vojska legija 3.80
komunikacija jezik 3.80
dokaz činjenica 4.00
organ jetra 2.50
violina instrument 2.50
kost zub 1.70
ptica purica 3.00
zraka svjetlost 2.60
novac biser 2.00
lopta rukavica 0.70
dan jutro 2.80
tijelo želudac 1.40
slanina grah 1.20
zalazak večer 3.60
očaj patnja 4.30
ljubavnik prijatelj 3.70
prozor vrata 1.90
igra akcija 2.40
zagađenje predsjednik 0.10
student profesor 2.10
kuna krzno 1.40
rječnik definicija 2.30
cvijet ljubičica 3.00
nesreća hitnost 1.00
kapetan mornar 2.50
himna osvajanje 0.50
vitamin željezo 1.30
zvijer životinja 3.90
staratelj zaštitnik 4.80
dolar narod 0.20
stvarnost fantazija 0.10
alkohol džin 2.80
desetljeće stoljeće 2.30
pas lisica 1.30
papir karton 3.40
jabuka bombon 1.10
automobil bicikl 2.20
tata kćer 1.10
krevet deka 1.30
dijete odrastao 0.90
rešetka zatvor 2.40
prvak pobjednik 5.00
čovjek pobjednik 2.50
pivo alkohol 3.10
kutija šešir 0.10
kokoš odrezak 0.90
kost gležanj 2.00
karta most 0.50
motor brod 2.60
jezero močvara 2.90
područje regija 5.30
pista kuglanje 1.20
pristojba uplata 3.30
riječ trag 1.00
posteljina tkanina 2.20
rušenje izgradnja 0.00
radnik kamera 0.20
odjeća dugme 1.00
mladoženja nevjesta 1.40
opasnost bolest 2.50
krava stoka 3.40
zadatak žena 0.40
autor stvaratelj 4.80
kćer dijete 3.40
narod stranka 1.40
hodnik koridor 5.10
srce operacija 1.50
smrt tragedija 3.90
blato nečistoća 3.50
kokoš riža 0.50
liječnik doktor 5.80
kuk usna 0.80
dečko cura 1.60
pod strop 0.10
odrastao beba 0.30
lonac uređaj 1.20
teta nećak 1.30
kost vrat 1.10
čovjek stražar 2.80
datum kalendar 2.40
škola razred 2.10
sunce nebo 2.30
auto most 0.80
zrno kava 1.80
pažnja svijest 3.00
raspoloženje osjećaj 3.70
tijelo živac 1.40
plaća zarada 4.40
prijatelj učitelj 2.60
zubar pukovnik 0.60
osjećaj intuicija 3.90
automobil taksi 3.40
košarka rukomet 1.90
zadatak zadaća 4.30
poglavlje rep 0.70
neznanje inteligencija 0.20
mačka lav 2.60
trbuh spavaća 0.00
stan namještaj 1.50
izdržljivost snaga 3.70
obala primorje 4.40
stan hotel 2.10
bogatstvo prestiž 3.50
crkva zbor 1.30
rođak ujak 2.10
pivo napitak 2.80
dan zora 2.90
sin otac 1.90
reket buka 0.30
udobnost sigurnost 3.70
kiša izmaglica 2.20
dubina veličina 2.00
bend orkestar 4.20
balada pjesma 4.00
putovanje put 4.90
heroina heroj 4.40
šuma klada 1.50
komunikacija razgovor 4.70
prolaz dvorana 1.40
živac mozak 2.10
jabuka sok 1.70
djevojka sluškinja 2.60
zadatak posao 3.90
služba poslovanje 3.60
bratstvo rukomet 0.60
krevet spavaća 1.50
nebo svemir 3.20
putovanje osvajanje 1.70
princ kralj 2.90
drvo papir 2.10
posuda vena 0.50
anatomija biologija 2.70
rupa sporazum 0.20
zvonce vrata 1.10
inteligencija logika 4.10
mišljenje izbor 2.30
zločin krađa 3.70
viski rakija 2.50
zid cigla 2.00
tata majka 1.90
napor poteškoća 3.50
novine informacija 3.30
greda kada 0.50
svjetina grupa 3.70
ruka vena 1.10
dječak brat 2.80
otac roditelj 4.40
pravac način 1.90
glava nokat 0.70
tijelo rame 1.20
pismo paragraf 1.90
večer sumrak 3.80
atom ugljik 2.60
molekula atom 3.40
gležanj prozor 0.20
ljudi bratstvo 2.80
noć dan 0.00
rijeka mišić 0.10
cvijet gomolj 1.40
zagađenje atmosfera 1.70
željeznica ograda 0.60
zadatak autocesta 0.10
bubreg organ 2.60
krevet stolica 1.60
plaža greben 1.90
posuda miš 0.30
grlo nos 1.80
pomoćnica sluškinja 4.60
alkohol viski 3.00
automobil tvornica 1.20
pobjednik sudjelovanje 1.70
smrt katastrofa 3.60
čovjek ratnik 3.00
ritam melodija 3.10
odlučiti izabrati 4.40
ostaviti ući 0.70
poslati pohađati 1.20
dogoditi zbiti 5.10
zvati moliti 2.50
postići uspjeti 4.30
uzeti nabaviti 2.80
urediti zahtijevati 1.00
ubiti udaviti 3.80
pretpostaviti pretvarati 1.10
proglasiti objaviti 5.30
ukrasti kupiti 1.10
stvoriti uništiti 0.00
čuvati posjedovati 2.50
savjetovati preporučiti 4.60
pretvarati izmisliti 2.30
pozdraviti susresti 3.00
željeti izabrati 2.10
izgubiti propasti 3.00
postići ostvariti 5.10
udijeliti posuditi 2.90
prisustvovati stići 1.60
imenovati izabrati 3.90
raspravljati uvjeriti 3.00
posuditi željeti 1.30
uživati zabaviti 3.40
složiti zadovoljiti 1.70
podsjetiti zaboraviti 0.10
dati znati 0.30
oglasiti objaviti 4.90
nositi donijeti 4.00
prihvatiti preporučiti 1.30
zaboraviti učiti 0.50
zadržati dati 0.40
uništiti izgraditi 0.00
raspraviti objasniti 2.70
surađivati sudjelovati 3.10
raspravljati racionalizirati 2.90
gunđati svađati 3.60
ostaviti pojaviti 0.50
istraživati progoniti 1.50
analizirati procijeniti 3.30
stvoriti izmisliti 4.10
moliti tražiti 4.00
razumjeti slušati 2.80
unerediti urediti 0.10
zaboraviti zanemariti 3.30
nestati smanjiti 2.40
pretpostaviti predvidjeti 3.80
razgovarati moliti 2.70
otkriti nastati 1.60
pridružiti steći 0.80
oslikati obavijestiti 0.60
pričvrstiti pridružiti 3.60
ostaviti lutati 0.90
zadovoljiti ugoditi 4.20
posuditi preklinjati 0.70
ići ući 2.10
poslati primiti 0.80
zaključiti odlučiti 3.20
skupiti sresti 0.40
pretvarati oslikati 0.90
postati nastati 4.80
utvrditi predvidjeti 2.30
dogovoriti svađati 0.70
savladati dominirati 3.50
ohrabriti obeshrabriti 0.00
oslikati odlučiti 0.30
uspjeti pokušati 1.80
usporediti analizirati 3.30
misliti istražiti 2.50
početi nastati 3.70
dostaviti nositi 3.40
pitati moliti 3.70
njegovati čuvati 4.10
zanemariti pitati 0.20
organizirati postati 0.80
pobijediti postići 3.60
izgubiti zadržati 0.20
zaboraviti znati 0.30
govoriti prihvatiti 0.90
pridružiti dodati 4.60
odbiti odbaciti 4.70
govoriti čuti 2.30
posuditi prodati 1.50
sudjelovati pridružiti 3.10
čuvati štititi 4.90
dobiti kupiti 2.30
podsjetiti prodati 0.20
raspravljati razlikovati 1.50
uzeti nositi 1.90
dati staviti 1.20
pobijediti uspjeti 3.80
ignorirati izbjeći 3.30
informirati obavijestiti 6.00
prihvatiti oprostiti 2.30
propasti obeshrabriti 1.80
progoniti uvjeriti 0.50
nastupiti prisustvovati 2.60
svađati opravdati 1.30
pokušati misliti 0.90
istražiti pregledati 3.30
naći nestati 0.50
zadržati štititi 1.90
stvoriti napraviti 4.80
oponašati oslikati 1.30
štititi braniti 5.20
prihvatiti dostaviti 1.10
postići postati 3.00
zahtijevati ispitati 1.10
učiti slušati 2.30
krenuti ići 4.00
postati djelovati 1.70
donijeti kukati 0.10
zadržati posuditi 0.80
dodati sagraditi 1.20
prihvatiti priznati 2.60
dati posuditi 3.80
slušati poslušati 4.80
uzeti ostaviti 0.00
stvoriti sagraditi 4.30
zaručiti vjenčati 3.30
uraditi odustati 0.40
odbiti izbjeći 3.10
reći provjeriti 1.30
nestati ispariti 4.70
razumjeti oprostiti 2.20
znati razumjeti 3.60
ući dugovati 0.70
doći prisustvovati 3.40
misliti odlučiti 2.20
nabaviti steći 4.50
napraviti postati 1.60
zamijeniti obnoviti 2.40
donijeti poslati 2.20
dobiti ostati 0.30
ići prodati 0.50
uraditi dogoditi 1.30
zaslužiti zaraditi 4.20
ići doći 4.00
uzeti imati 3.00
stići otići 1.00
staviti visiti 1.10
ponašati poslušati 1.40
odabrati izabrati 5.30
disati gušiti 1.30
ići dozvoliti 0.80
udružiti vjenčati 3.00
trošiti štedjeti 0.30
locirati pronaći 5.40
zaboraviti zadržati 0.30
smanjiti skupiti 3.00
zadovoljiti zabaviti 2.90
moliti preklinjati 4.30
razmišljati misliti 5.70
ostati zadržati 2.40
ubiti uništiti 4.20
dugovati posuditi 1.00
istražiti otkriti 3.40
priznati obavijestiti 1.80
prihvatiti osporiti 0.00
steći dobiti 3.80
uzeti primiti 2.30
udovoljiti moliti 1.30
napraviti konstruirati 5.00
uništiti napraviti 0.10
urediti organizirati 4.10
proširiti narasti 3.20
stići doći 4.10
ubiti braniti 0.40
surađivati pridružiti 2.20
misliti racionalizirati 3.50
otići ići 3.90
početi odustati 0.10
shvatiti otkriti 3.50
zanemariti istražiti 0.20
uspjeti propasti 0.10
skupiti sačuvati 2.70
provjeriti opravdati 1.10
primiti dati 0.20
upiti posjedovati 1.20
čitati shvatiti 2.20
dodati podijeliti 1.90
uzeti dostaviti 1.30
ostaviti ostati 2.20
dati uskratiti 0.10
dati dozvoliti 3.40
skitati lutati 5.30
ubiti objesiti 4.00
reći sudjelovati 1.40
pojasniti objasniti 5.00
razumjeti zadovoljiti 1.60
prihvatiti vjerovati 2.80
slušati čuti 4.60
ostaviti zanemariti 3.20
doći donijeti 1.20
pomnožiti zbrojiti 2.80
upiti povući 1.20
pobijediti dominirati 3.90
napraviti zaraditi 2.50
smanjiti narasti 0.00
izgubiti dobiti 0.00
upiti naučiti 2.90
skupiti prisustvovati 1.00
steći pronaći 1.90
dati ukrasti 0.10
znati vjerovati 1.80
uzeti krasti 2.60
ići poslati 1.00
objasniti dokazati 3.10
donijeti obnoviti 0.80
postići pokušati 2.10
provjeriti pregledati 4.00
množiti dijeliti 2.00
učiti procijeniti 1.50
shvatiti znati 2.70
raspravljati dokazati 2.50
prihvatiti odbiti 0.00
dobiti staviti 0.80
pretvarati djelovati 0.70
oprostiti zaboraviti 2.60
složiti razlikovati 0.30
